"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"147","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0.000533333333333333,0.175,0.00712379935965855,0.167876200640341,1000
"148","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.005,NA,1000
"149","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00553333333333332,NA,1000
"150","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00607999999999998,NA,1000
"151","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00605714285714287,NA,1000
"152","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00632000000000004,NA,1000
"153","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00631666666666671,NA,1000
"154","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00640000000000005,NA,1000
"155","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0074,NA,1000
"156","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00779999999999998,NA,1000
"157","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00772,NA,1000
"158","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00725714285714288,NA,1000
"159","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00710000000000005,NA,1000
"160","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00711666666666672,NA,1000
"161","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00698666666666673,NA,1000
"162","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.001,0.2,0.00640640640640641,0.193593593593594,1000
"163","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.000666666666666667,0.2,0.00620413609072714,0.193795863909273,1000
"164","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",4e-04,0.2,0.00652260904361743,0.193477390956383,1000
"165","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.000285714285714286,0.2,0.00640182909402688,0.193598170905973,1000
"166","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",2e-04,0.2,0.00624124824964996,0.19375875175035,1000
"167","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.000166666666666667,0.2,0.0063177196199367,0.193682280380063,1000
"168","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0.000133333333333333,0.2,0.00645419389251906,0.193545806107481,1000
"169","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.007,NA,1000
"170","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00613333333333332,NA,1000
"171","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00607999999999998,NA,1000
"172","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00640000000000001,NA,1000
"173","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00624000000000003,NA,1000
"174","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00633333333333338,NA,1000
"175","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00638666666666672,NA,1000
"176","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0082,NA,1000
