P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,SoftMax,0.50363214714114346,0.014070987129719964,0.0099200991681091064,0.016066191773147429,0.017977582983137574,0.015161588215444319,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,SoftMax,0.098614954018392639,0.027121028359484833,0.01222768934948292,0.02730298756733935,0.020838229124384839,0.019076669865177465,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,SoftMax,0.30205677728908437,0.020309344464713878,0.012249959680799791,0.022797924260554363,0.02048031858175314,0.017978429800060782,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,SoftMax,0.50750419832067173,0.016542977450878647,0.010994570119231106,0.020296263907238023,0.019820032848659064,0.017326037303648689,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,SoftMax,0.099048380647740908,0.024782180982751208,0.011460781054482972,0.025344932377958641,0.02448483753750029,0.026452181362271638,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,SoftMax,0.30338584566173527,0.017200796723587344,0.0097545121822929532,0.025243814866932238,0.024822688505584299,0.027412164394015986,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,SoftMax,0.51404238304678129,0.013303455812843052,0.0086420008149530395,0.025225515540390559,0.024890385272895509,0.026940684048332785,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,SoftMax,0.10130507796881247,0.022960363066217532,0.011719057862987985,0.027929233459347027,0.024018932819298355,0.023945200916129315,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,SoftMax,0.30623430627748904,0.016652600480129662,0.011073062974786401,0.027607920314228207,0.024514857276343938,0.02482088523233408,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,SoftMax,0.51873970411835257,0.012965710534489919,0.0094226898288345858,0.027435260690398026,0.024622880748683264,0.025198961665499169,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,SoftMax,0.10162974810075968,0.024313648645893395,0.012363967387169231,0.031127566420132743,0.023764130342707076,0.02616781364306088,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,SoftMax,0.31402319072371043,0.018133452194916105,0.012021077632178393,0.030888164411847989,0.024063335105186344,0.027296276724713953,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,SoftMax,0.5307285085965614,0.014705861102475071,0.011005247794623637,0.030851958532317321,0.024156686295794587,0.028262002965775607,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,SoftMax,0.098994002399040382,0.026189240588520568,0.024523214004038656,0.022384446586300497,0.020857125311394081,0.030376795145190046,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,SoftMax,0.29320431827269089,0.026050866089450835,0.024819329515715506,0.019263021214045828,0.020108431079156365,0.027905640326734951,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,SoftMax,0.48687405037984804,0.026030403954432721,0.024882617832549272,0.0168803908168936,0.018774884210064329,0.027155145173336399,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,SoftMax,0.09885805677728908,0.02833543641654827,0.024152844335751888,0.024298508560660979,0.020596967414287029,0.027105045591753616,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,SoftMax,0.28918672530987605,0.028102919464520135,0.024580101990522095,0.01879119926453281,0.019169140442880921,0.029510020573953036,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,SoftMax,0.48059016393442622,0.028064687555352217,0.024669924894462979,0.015852686719967899,0.018035289143907465,0.029648088275752549,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,SoftMax,0.099377848860455795,0.02930504771437617,0.023787897277642849,0.026829215344618698,0.020674095430555366,0.025112818718944059,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,SoftMax,0.29460055977608957,0.028765743511853042,0.024294447514200616,0.022319500069156568,0.020461692565651706,0.027084756336348565,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,SoftMax,0.48291723310675722,0.028604250978823822,0.024456662968961394,0.019002271520048478,0.01920210586617423,0.028483549052367867,100
5,2,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.095699320271891236,0.050493517003175468,0.053791475743062159,0.065890764075936539,0.081178779667586354,0.093257616006446512,10
2,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.31482606957217107,0.030174909763517818,0.049169093323361925,0.052317668809057256,0.07589992684078388,0.068142692506662411,10
